duration_if_m;lapse_rate
1;0.37
2;0.37
3;0.37
4;0.37
5;0.37
6;0.37
7;0.37
8;0.37
9;0.37
10;0.37
11;0.37
12;0.37
13;0.25
14;0.25
15;0.25
16;0.25
17;0.25
18;0.25
19;0.25
20;0.25
21;0.25
22;0.25
23;0.25
24;0.25
25;0.2
26;0.2
27;0.2
28;0.2
29;0.2
30;0.2
31;0.2
32;0.2
33;0.2
34;0.2
35;0.2
36;0.2
37;0.15
38;0.15
39;0.15
40;0.15
41;0.15
42;0.15
43;0.15
44;0.15
45;0.15
46;0.15
47;0.15
48;0.15
49;0.15
50;0.15
51;0.15
52;0.15
53;0.15
54;0.15
55;0.15
56;0.15
57;0.15
58;0.15
59;0.15
60;0.15
