anb,gender,qx
1,M,0.00943501
2,M,0.00434126
3,M,0.00257637
4,M,0.00198011
5,M,0.00215154
6,M,0.00274807
7,M,0.00359031
8,M,0.00428912
9,M,0.00409939
10,M,0.0031094
11,M,0.00204346
12,M,0.00136155
13,M,0.00118193
14,M,0.00105752
15,M,0.00100274
16,M,0.00116253
17,M,0.0013781
18,M,0.0016271
19,M,0.00194644
20,M,0.00234488
21,M,0.00272498
22,M,0.00300697
23,M,0.00380464
24,M,0.0046023
25,M,0.00539996
26,M,0.00619763
27,M,0.00699529
28,M,0.00904229
29,M,0.01108929
30,M,0.01313629
31,M,0.01518329
32,M,0.01723029
33,M,0.0188536
34,M,0.0204769
35,M,0.0221002
36,M,0.0237235
37,M,0.02534681
38,M,0.02575688
39,M,0.02616695
40,M,0.02657702
41,M,0.02698709
42,M,0.02739716
43,M,0.02752932
44,M,0.02766148
45,M,0.02779364
46,M,0.0279258
47,M,0.02805796
48,M,0.02848909
49,M,0.02892022
50,M,0.02935134
51,M,0.02978247
52,M,0.03021359
53,M,0.03073006
54,M,0.03124652
55,M,0.03176299
56,M,0.03227945
57,M,0.03279592
58,M,0.03271971
59,M,0.0326435
60,M,0.0325673
61,M,0.03249109
62,M,0.03241488
63,M,0.03444732
64,M,0.03647976
65,M,0.0385122
66,M,0.04054464
67,M,0.04257708
68,M,0.04670296
69,M,0.05082885
70,M,0.05495474
71,M,0.05908063
72,M,0.06320652
73,M,0.07001266
74,M,0.0768188
75,M,0.08362494
76,M,0.09043108
77,M,0.09723722
78,M,0.10777667
79,M,0.11831612
80,M,0.12885556
81,M,0.13939501
82,M,0.14993445
83,M,0.16456158
84,M,0.17918871
85,M,0.19381583
86,M,0.20844296
87,M,0.22307009
88,M,0.23872365
89,M,0.25547567
90,M,0.27340324
91,M,0.29258884
92,M,0.31312076
93,M,0.33509347
94,M,0.35860808
95,M,0.38377278
96,M,0.41070338
97,M,0.43952379
98,M,0.47036661
99,M,0.50337378
100,M,0.53869717
101,M,0.57649932
102,M,0.61695417
103,M,0.66024787
104,M,0.70657963
105,M,0.75616265
106,M,0.8
107,M,0.8
108,M,0.8
109,M,0.8
110,M,0.8
111,M,0.8
112,M,0.8
113,M,0.8
114,M,0.8
115,M,0.8
116,M,0.8
117,M,0.8
118,M,0.8
119,M,0.8
120,M,0.8
121,M,1
1,F,0.00943501
2,F,0.00434126
3,F,0.00257637
4,F,0.00198011
5,F,0.00215154
6,F,0.00274807
7,F,0.00359031
8,F,0.00428912
9,F,0.00409939
10,F,0.0031094
11,F,0.00204346
12,F,0.00136155
13,F,0.00118193
14,F,0.00105752
15,F,0.00100274
16,F,0.00116253
17,F,0.0013781
18,F,0.0016271
19,F,0.00194644
20,F,0.00234488
21,F,0.00272498
22,F,0.004353
23,F,0.0058948
24,F,0.0074366
25,F,0.0089784
26,F,0.0105202
27,F,0.012062
28,F,0.0145034
29,F,0.0169448
30,F,0.0193862
31,F,0.0218276
32,F,0.024269
33,F,0.02528041
34,F,0.02629182
35,F,0.02730322
36,F,0.02831463
37,F,0.02932604
38,F,0.02856709
39,F,0.02780814
40,F,0.02704919
41,F,0.02629023
42,F,0.02553128
43,F,0.02460599
44,F,0.02368071
45,F,0.02275542
46,F,0.02183013
47,F,0.02090484
48,F,0.02037864
49,F,0.01985243
50,F,0.01932623
51,F,0.01880002
52,F,0.01827382
53,F,0.01835772
54,F,0.01844161
55,F,0.01852551
56,F,0.01860941
57,F,0.0186933
58,F,0.01887781
59,F,0.01906231
60,F,0.01924681
61,F,0.01943131
62,F,0.01961582
63,F,0.02152201
64,F,0.02342821
65,F,0.0253344
66,F,0.0272406
67,F,0.02914679
68,F,0.0330322
69,F,0.03691761
70,F,0.04080302
71,F,0.04468842
72,F,0.04857383
73,F,0.05489084
74,F,0.06120784
75,F,0.06752485
76,F,0.07384185
77,F,0.08015885
78,F,0.08991304
79,F,0.09966723
80,F,0.10942141
81,F,0.1191756
82,F,0.12892979
83,F,0.14291782
84,F,0.15690586
85,F,0.17089389
86,F,0.18488193
87,F,0.19886996
88,F,0.21391632
89,F,0.23010108
90,F,0.24751036
91,F,0.26623682
92,F,0.2863801
93,F,0.30804742
94,F,0.33135407
95,F,0.35642408
96,F,0.38339087
97,F,0.41239795
98,F,0.44359969
99,F,0.47716212
100,F,0.51326387
101,F,0.55209704
102,F,0.59386831
103,F,0.63879997
104,F,0.68713112
105,F,0.73911897
106,F,0.79504018
107,F,0.79504018
108,F,0.8
109,F,0.8
110,F,0.8
111,F,0.8
112,F,0.8
113,F,0.8
114,F,0.8
115,F,0.8
116,F,0.8
117,F,0.8
118,F,0.8
119,F,0.8
120,F,0.8
121,F,1








